old_object_in_surp,new_object_in_surp,which_side_old_object_displayed
img/object_images/slinky_toy01.jpg,img/object_images/napkin02.jpg,left
img/object_images/microscope01.jpg,img/object_images/jewelry08.jpg,left
img/object_images/projector01.jpg,img/object_images/knife05.jpg,left
img/object_images/airfryer01.jpg,img/object_images/shoes06.jpg,left
img/object_images/lemon_squeezer02.jpg,img/object_images/Slippers01.jpg,right
img/object_images/pan01.jpg,img/object_images/cotton_buds01.jpg,right
img/object_images/bath_tub01.jpg,img/object_images/hole_puncher02.jpg,right
img/object_images/trash_can05.jpg,img/object_images/tripod02.jpg,left
img/object_images/TreeSlice01.jpg,img/object_images/fridge02.jpg,right
img/object_images/clip04.jpg,img/object_images/rolling_pin01.jpg,right
img/object_images/ironing_table01.jpg,img/object_images/video_game_remote01.jpg,left
img/object_images/mail_box02.jpg,img/object_images/scissors03 (1).jpg,left
img/object_images/gift_box02.jpg,img/object_images/Oven_Mitt01.jpg,left
img/object_images/backpack01.jpg,img/object_images/lifesaver01.jpg,left
img/object_images/curtain02.jpg,img/object_images/lights02.jpg,right
img/object_images/ear_bud01.jpg,img/object_images/measuring_tape01.jpg,left
img/object_images/board01.jpg,img/object_images/smoke_detector01.jpg,left
img/object_images/boat_toy10.jpg,img/object_images/box01.jpg,left
img/object_images/crutches02.jpg,img/object_images/flute01.jpg,left
img/object_images/dice01.jpg,img/object_images/leaf_blower01.jpg,left
img/object_images/retainer01.jpg,img/object_images/Wagon01.jpg,left
img/object_images/toothbrush01.jpg,img/object_images/sponge01.jpg,left
img/object_images/pen01.jpg,img/object_images/Nail_Clipper01.jpg,left
img/object_images/Witchhat01.jpg,img/object_images/hair_brush04.jpg,right
img/object_images/vase02.jpg,img/object_images/purse02.jpg,left
img/object_images/hat13.jpg,img/object_images/outlet_02.jpg,right
img/object_images/knit01.jpg,img/object_images/iron02.jpg,left
img/object_images/gauze01.jpg,img/object_images/hair_brush06.jpg,left
img/object_images/wallet02.jpg,img/object_images/board02.jpg,right
img/object_images/glasses03.jpg,img/object_images/suit01.jpg,right
img/object_images/hammer03.jpg,img/object_images/poker_chips01.jpg,right
img/object_images/note_book02.jpg,img/object_images/harp01.jpg,right
img/object_images/tool11.jpg,img/object_images/film01.jpg,right
img/object_images/hole_puncher01.jpg,img/object_images/chair07.jpg,left
img/object_images/tripod01.jpg,img/object_images/jacket01.jpg,right
img/object_images/pitcher01.jpg,img/object_images/ball_toy03.jpg,left
img/object_images/pen05.jpg,img/object_images/backpack02.jpg,left
img/object_images/surf_board01.jpg,img/object_images/Paddles01.jpg,left
img/object_images/lemon_squeezer01.jpg,img/object_images/nail_polish02.jpg,right
img/object_images/ice_tray03.jpg,img/object_images/flashlight02.jpg,left
img/object_images/tool07.jpg,img/object_images/light06.jpg,right
img/object_images/acoustic_capo01.jpg,img/object_images/yoga_mat02.jpg,right
img/object_images/soap01.jpg,img/object_images/computer_mouse03.jpg,left
img/object_images/ball02.jpg,img/object_images/jewelry02.jpg,right
img/object_images/WitchHat02.jpg,img/object_images/barrel01.jpg,left
img/object_images/tie02.jpg,img/object_images/bottle04.jpg,right
img/object_images/robe01.jpg,img/object_images/ladle01.jpg,left
img/object_images/helmet01.jpg,img/object_images/key03.jpg,left
