old_object_in_surp,new_object_in_surp,which_side_old_object_displayed
img/object_images/bottle07.jpg,img/object_images/snow_mobile01.jpg,right
img/object_images/scoreboard01.jpg,img/object_images/suitcase01.jpg,right
img/object_images/knit04.jpg,img/object_images/chain02.jpg,left
img/object_images/cellphone02.jpg,img/object_images/wire01.jpg,right
img/object_images/shovel03.jpg,img/object_images/cart01.jpg,left
img/object_images/gift_box03.jpg,img/object_images/crutches01.jpg,left
img/object_images/wagon_cart03.jpg,img/object_images/bench01.jpg,right
img/object_images/blanket01.jpg,img/object_images/go_kart01.jpg,right
img/object_images/floppy_disk03.jpg,img/object_images/audio_tape02.jpg,right
img/object_images/Recycling01.jpg,img/object_images/umbrella02.jpg,right
img/object_images/egg_basket01.jpg,img/object_images/lights03.jpg,right
img/object_images/dresser04.jpg,img/object_images/tool16 (1).jpg,right
img/object_images/sponge03.jpg,img/object_images/bird_house01.jpg,right
img/object_images/drone01.jpg,img/object_images/razor04.jpg,left
img/object_images/calculator01.jpg,img/object_images/Top01.jpg,right
img/object_images/Screws01.jpg,img/object_images/Makeup01.jpg,right
img/object_images/dust_pan01.jpg,img/object_images/Vest01.jpg,right
img/object_images/helmet04.jpg,img/object_images/amplifier01.jpg,left
img/object_images/tool09.jpg,img/object_images/purse05.jpg,right
img/object_images/couch01.jpg,img/object_images/purse03.jpg,right
img/object_images/Shoes05.jpg,img/object_images/cooler01.jpg,left
img/object_images/pot01 (1).jpg,img/object_images/megaphone01.jpg,left
img/object_images/tool20.jpg,img/object_images/toy07.jpg,left
img/object_images/laptop03.jpg,img/object_images/toy06.jpg,right
img/object_images/lantern01.jpg,img/object_images/goggles01.jpg,left
img/object_images/phone04.jpg,img/object_images/dumb_bell02.jpg,left
img/object_images/frisbee01.jpg,img/object_images/HDD02.jpg,right
img/object_images/Safe01.jpg,img/object_images/clip01.jpg,right
img/object_images/pillows01.jpg,img/object_images/hat07.jpg,right
img/object_images/satellite01.jpg,img/object_images/trash_can01.jpg,left
img/object_images/cellphone01.jpg,img/object_images/purse06.jpg,left
img/object_images/toilet_paper01.jpg,img/object_images/bed_cover01.jpg,left
img/object_images/pan03.jpg,img/object_images/hat11.jpg,right
img/object_images/nut_cracker01.jpg,img/object_images/sythe01.jpg,left
img/object_images/skate_board01.jpg,img/object_images/pacifier_01.jpg,left
img/object_images/dart01.jpg,img/object_images/meter01.jpg,right
img/object_images/toilet_paper_dispenser01.jpg,img/object_images/table01.jpg,right
img/object_images/floss01.jpg,img/object_images/scissors02.jpg,right
img/object_images/hat06.jpg,img/object_images/rollerskates01.jpg,right
img/object_images/gift_box01.jpg,img/object_images/pot02.jpg,right
img/object_images/chair01.jpg,img/object_images/couch02.jpg,left
img/object_images/helmet02.jpg,img/object_images/car09.jpg,right
img/object_images/belt03.jpg,img/object_images/phone01.jpg,left
img/object_images/ladle02.jpg,img/object_images/hat05.jpg,right
img/object_images/chess_piece01.jpg,img/object_images/bib01.jpg,right
img/object_images/airfryer02.jpg,img/object_images/yoga_mat03.jpg,right
img/object_images/gift_box04.jpg,img/object_images/gloves08.jpg,right
img/object_images/fire_extinguisher01.jpg,img/object_images/audio_tape01.jpg,left
