old_object_in_surp,new_object_in_surp,which_side_old_object_displayed
img/object_images/duster01.jpg,img/object_images/fire_truck01.jpg,left
img/object_images/car01.jpg,img/object_images/pencil_grips01.jpg,right
img/object_images/frame01.jpg,img/object_images/inhaler01.jpg,left
img/object_images/clipboard01.jpg,img/object_images/flashlight01.jpg,right
img/object_images/fan02.jpg,img/object_images/fork01.jpg,right
img/object_images/bell02.jpg,img/object_images/sharpener01.jpg,left
img/object_images/tv02.jpg,img/object_images/jewel05.jpg,left
img/object_images/chair06.jpg,img/object_images/mortar_pestle01.jpg,left
img/object_images/ring03.jpg,img/object_images/crumpled_paper.jpg,right
img/object_images/rock03.jpg,img/object_images/fan06.jpg,left
img/object_images/measuring_tape02.jpg,img/object_images/gloves03.jpg,right
img/object_images/tennis_racket02.jpg,img/object_images/Ring01.jpg,right
img/object_images/wire02.jpg,img/object_images/saddle01.jpg,left
img/object_images/car03.jpg,img/object_images/shoes04.jpg,right
img/object_images/basketball_hoop02.jpg,img/object_images/toy09.jpg,right
img/object_images/stapler.jpg,img/object_images/bench02.jpg,left
img/object_images/glasses06.jpg,img/object_images/ruler01.jpg,left
img/object_images/bottle06.jpg,img/object_images/puzzle_piece01.jpg,left
img/object_images/razor03.jpg,img/object_images/decorative01.jpg,left
img/object_images/hair_clips01.jpg,img/object_images/camera02.jpg,left
img/object_images/jacket03.jpg,img/object_images/shirt01.jpg,right
img/object_images/Oven01.jpg,img/object_images/couch05.jpg,left
img/object_images/gloves02.jpg,img/object_images/Wheelbarrow01.jpg,right
img/object_images/box03.jpg,img/object_images/projector02.jpg,right
img/object_images/decorative02.jpg,img/object_images/hat03.jpg,left
img/object_images/screwdriver01.jpg,img/object_images/candle03.jpg,left
img/object_images/outlet01.jpg,img/object_images/shoes14.jpg,left
img/object_images/bicycle01.jpg,img/object_images/plate01.jpg,right
img/object_images/boat02.jpg,img/object_images/shoes01.jpg,left
img/object_images/fork03.jpg,img/object_images/wallet01.jpg,left
img/object_images/video_game03.jpg,img/object_images/scale01.jpg,left
img/object_images/hat09.jpg,img/object_images/case02.jpg,left
img/object_images/camera03.jpg,img/object_images/knit02.jpg,left
img/object_images/remover01.jpg,img/object_images/airplane02.jpg,right
img/object_images/towels01.jpg,img/object_images/gloves06.jpg,right
img/object_images/yoga_mat01.jpg,img/object_images/inhaler02.jpg,left
img/object_images/Confetti 01.jpg,img/object_images/glasses02.jpg,left
img/object_images/cochlear_implant01.jpg,img/object_images/cage01.jpg,left
img/object_images/floss02.jpg,img/object_images/Kettle01.jpg,right
img/object_images/chair03.jpg,img/object_images/recorder01.jpg,right
img/object_images/handkerchief01.jpg,img/object_images/tool17.jpg,left
img/object_images/compass01.jpg,img/object_images/tool22.jpg,right
img/object_images/cup01.jpg,img/object_images/christmas_ornament01.jpg,left
img/object_images/pen06.jpg,img/object_images/markers01.jpg,left
img/object_images/mail_box01.jpg,img/object_images/key01.jpg,right
img/object_images/towel02.jpg,img/object_images/keyboard01.jpg,right
img/object_images/Stool01.jpg,img/object_images/shaving_supplies01.jpg,right
img/object_images/stove01.jpg,img/object_images/tablet01.jpg,left
