old_object_in_surp,new_object_in_surp,which_side_old_object_displayed
img/object_images/handcuffs01.jpg,img/object_images/shovel02.jpg,left
img/object_images/chess_piece02.jpg,img/object_images/shoes13.jpg,right
img/object_images/hammer01.jpg,img/object_images/Unicycle01.jpg,right
img/object_images/bicycle_lock01.jpg,img/object_images/router01.jpg,left
img/object_images/container01.jpg,img/object_images/Light07.jpg,left
img/object_images/jewel02.jpg,img/object_images/sharpener02.jpg,right
img/object_images/lamp01.jpg,img/object_images/dropper02.jpg,right
img/object_images/yo_yo01.jpg,img/object_images/camera06.jpg,left
img/object_images/hair_brush05.jpg,img/object_images/clock01.jpg,right
img/object_images/golf_ball03.jpg,img/object_images/drum02.jpg,left
img/object_images/bean_bag02.jpg,img/object_images/rocks01.jpg,right
img/object_images/motorcycle01.jpg,img/object_images/lock02.jpg,right
img/object_images/chair02.jpg,img/object_images/boat01.jpg,left
img/object_images/chain01.jpg,img/object_images/joystick01.jpg,right
img/object_images/hat02.jpg,img/object_images/wind_chimes.jpg,left
img/object_images/chair05.jpg,img/object_images/pay_phone01.jpg,left
img/object_images/speaker01.jpg,img/object_images/rolling_pin02.jpg,left
img/object_images/Statue01.jpg,img/object_images/toy02.jpg,left
img/object_images/Pottery01.jpg,img/object_images/Spoon02.jpg,left
img/object_images/egg_slicer01.jpg,img/object_images/wine_cork01.jpg,right
img/object_images/piggy_bank01.jpg,img/object_images/power_strip01.jpg,left
img/object_images/jacket04.jpg,img/object_images/gloves07.jpg,right
img/object_images/judge_gavel01.jpg,img/object_images/eraser01.jpg,right
img/object_images/joystick03.jpg,img/object_images/tool05.jpg,left
img/object_images/knit03.jpg,img/object_images/hat12.jpg,left
img/object_images/Trowel01.jpg,img/object_images/pan04.jpg,left
img/object_images/usb03.jpg,img/object_images/pitcher08.jpg,left
img/object_images/pitcher05.jpg,img/object_images/headset01.jpg,left
img/object_images/couch03.jpg,img/object_images/dropper03.jpg,right
img/object_images/bow01.jpg,img/object_images/airfryer03.jpg,right
img/object_images/water_scooter01.jpg,img/object_images/brief_case03.jpg,left
img/object_images/cards01.jpg,img/object_images/donut_pillow01.jpg,right
img/object_images/flask01.jpg,img/object_images/motorcycle03.jpg,left
img/object_images/bottle01.jpg,img/object_images/shoes09.jpg,right
img/object_images/video_game07.jpg,img/object_images/can02.jpg,right
img/object_images/mirror01.jpg,img/object_images/car_toy06.jpg,left
img/object_images/tool18.jpg,img/object_images/router02.jpg,right
img/object_images/basket04.jpg,img/object_images/pants02.jpg,right
img/object_images/bag_pipes01.jpg,img/object_images/fan03.jpg,left
img/object_images/brief_case01.jpg,img/object_images/paint_brush02.jpg,left
img/object_images/bottle09.jpg,img/object_images/sandals01.jpg,left
img/object_images/Staples01.jpg,img/object_images/Lint_Roller01.jpg,left
img/object_images/colander01.jpg,img/object_images/tool04.jpg,right
img/object_images/Wisk01.jpg,img/object_images/hook01.jpg,right
img/object_images/Woopie01.jpg,img/object_images/binoculars02.jpg,left
img/object_images/lighter01.jpg,img/object_images/jewelry04.jpg,right
img/object_images/ball01.jpg,img/object_images/globe01.jpg,right
img/object_images/guitar01.jpg,img/object_images/tool03.jpg,right
