old_object_in_surp,new_object_in_surp,which_side_old_object_displayed
img/object_images/chair04.jpg,img/object_images/basket06.jpg,right
img/object_images/tool19.jpg,img/object_images/record_player01.jpg,left
img/object_images/piano03.jpg,img/object_images/gimble01.jpg,right
img/object_images/scale02.jpg,img/object_images/bed01.jpg,left
img/object_images/remote_controller01.jpg,img/object_images/matches01.jpg,right
img/object_images/tray01.jpg,img/object_images/ribbon_cable.jpg,right
img/object_images/gift_box05.jpg,img/object_images/radio01.jpg,right
img/object_images/hot_air_balloon02.jpg,img/object_images/Pancho01.jpg,left
img/object_images/blender02.jpg,img/object_images/paint_brush01.jpg,right
img/object_images/shoes12.jpg,img/object_images/handcuffs03.jpg,right
img/object_images/fork02.jpg,img/object_images/storage_basket.jpg,right
img/object_images/keyboard02.jpg,img/object_images/hat04.jpg,left
img/object_images/fridge03.jpg,img/object_images/Twine01.jpg,right
img/object_images/cutting_board01.jpg,img/object_images/dress01.jpg,right
img/object_images/bucket01.jpg,img/object_images/parachute01.jpg,right
img/object_images/usb02.jpg,img/object_images/curtain01.jpg,right
img/object_images/trash_can03.jpg,img/object_images/mail_box03.jpg,right
img/object_images/shoes07.jpg,img/object_images/bloodpressure_cuff01.jpg,left
img/object_images/hair_brush01.jpg,img/object_images/Wok01.jpg,right
img/object_images/paper_cup01.jpg,img/object_images/fire_hydrant01.jpg,left
img/object_images/Sprayer01.jpg,img/object_images/can01.jpg,right
img/object_images/belt01.jpg,img/object_images/stretcher01.jpg,left
img/object_images/paper_cup02.jpg,img/object_images/floppy_disk01.jpg,right
img/object_images/jewelry07.jpg,img/object_images/soap02.jpg,right
img/object_images/soap03.jpg,img/object_images/video_player01.jpg,right
img/object_images/toy05.jpg,img/object_images/yo_yo02.jpg,left
img/object_images/cup03.jpg,img/object_images/sand_clock02.jpg,right
img/object_images/drone02.jpg,img/object_images/hat10.jpg,right
img/object_images/funnel01.jpg,img/object_images/grill01.jpg,left
img/object_images/perfume01.jpg,img/object_images/Carpenter_Tool01.jpg,right
img/object_images/toaster02.jpg,img/object_images/basket03.jpg,right
img/object_images/pitcher07.jpg,img/object_images/Teapot01.jpg,right
img/object_images/purse01.jpg,img/object_images/guitar03.jpg,right
img/object_images/ribbon01.jpg,img/object_images/card_scanner01.jpg,right
img/object_images/camera_lens01.jpg,img/object_images/trash_can04.jpg,right
img/object_images/tool06.jpg,img/object_images/phone03.jpg,right
img/object_images/jewel03.jpg,img/object_images/lights01.jpg,right
img/object_images/ironing_table02.jpg,img/object_images/measurement_tape01.jpg,left
img/object_images/hair_dryer01.jpg,img/object_images/train_toy04.jpg,right
img/object_images/glasses07.jpg,img/object_images/bottle11.jpg,right
img/object_images/umbrella01.jpg,img/object_images/laptop02.jpg,left
img/object_images/rock02.jpg,img/object_images/watering_can02.jpg,right
img/object_images/Eyeliner01.jpg,img/object_images/dumb_bell01.jpg,left
img/object_images/shower_head03.jpg,img/object_images/jewelry10.jpg,left
img/object_images/computer_mouse02.jpg,img/object_images/piano01.jpg,left
img/object_images/car02.jpg,img/object_images/pan02.jpg,left
img/object_images/hand_grip_exerciser01.jpg,img/object_images/tool21.jpg,left
img/object_images/spray_can01.jpg,img/object_images/box02.jpg,right
