old_object_in_surp,new_object_in_surp,which_side_old_object_displayed
img/object_images/Traffic Sign 01.jpg,img/object_images/target01.jpg,right
img/object_images/brief_case02.jpg,img/object_images/basketball04.jpg,left
img/object_images/Lint_Roller02.jpg,img/object_images/vacuum_cleaner02.jpg,left
img/object_images/crown02.jpg,img/object_images/Mouth_Guard 01.jpg,left
img/object_images/flashlight03.jpg,img/object_images/device01.jpg,right
img/object_images/vase01.jpg,img/object_images/Radio02.jpg,right
img/object_images/Vest02.jpg,img/object_images/sand_clock01.jpg,left
img/object_images/purse04.jpg,img/object_images/Plastic_Bag01.jpg,right
img/object_images/dress03.jpg,img/object_images/cage02.jpg,right
img/object_images/matches02.jpg,img/object_images/spray_bottle01.jpg,left
img/object_images/sink01.jpg,img/object_images/kite03.jpg,right
img/object_images/perfume02.jpg,img/object_images/sponge02.jpg,left
img/object_images/ruler02.jpg,img/object_images/cable01.jpg,right
img/object_images/knife02.jpg,img/object_images/gloves01.jpg,left
img/object_images/fan01.jpg,img/object_images/trash_can02.jpg,left
img/object_images/knife01.jpg,img/object_images/shoes03.jpg,right
img/object_images/broom01.jpg,img/object_images/pants01.jpg,right
img/object_images/accardion01.jpg,img/object_images/couch06.jpg,left
img/object_images/clip02.jpg,img/object_images/nail_polish01.jpg,right
img/object_images/microphone03.jpg,img/object_images/hair_brush07.jpg,right
img/object_images/pen03.jpg,img/object_images/door01.jpg,left
img/object_images/cellphone03.jpg,img/object_images/motorcycle02.jpg,right
img/object_images/bird_house02.jpg,img/object_images/Tractor01.jpg,left
img/object_images/mask01.jpg,img/object_images/TrashCan01.jpg,right
img/object_images/toaster01.jpg,img/object_images/cup02.jpg,left
img/object_images/bow_tie01.jpg,img/object_images/yarn01.jpg,left
img/object_images/video_game02.jpg,img/object_images/bag01.jpg,left
img/object_images/pot01.jpg,img/object_images/laundry_machine01.jpg,left
img/object_images/WoodBox01.jpg,img/object_images/jewelry06.jpg,right
img/object_images/guitar02.jpg,img/object_images/pen04.jpg,left
img/object_images/Thermometer01.jpg,img/object_images/cup05.jpg,left
img/object_images/jewel04.jpg,img/object_images/jewelry03.jpg,right
img/object_images/knife04.jpg,img/object_images/carpet01.jpg,right
img/object_images/scarf01.jpg,img/object_images/purse07.jpg,left
img/object_images/book03.jpg,img/object_images/light05.jpg,left
img/object_images/bottle05.jpg,img/object_images/Teapot02.jpg,right
img/object_images/key02.jpg,img/object_images/fork_lift01.jpg,left
img/object_images/ToolBag01.jpg,img/object_images/watch02.jpg,right
img/object_images/razor01.jpg,img/object_images/tie03.jpg,left
img/object_images/boat04.jpg,img/object_images/hose01.jpg,right
img/object_images/hair_brush02.jpg,img/object_images/iron01.jpg,right
img/object_images/knit05.jpg,img/object_images/dice02.jpg,right
img/object_images/tv01.jpg,img/object_images/apron01.jpg,left
img/object_images/pitcher02.jpg,img/object_images/watering_can01.jpg,right
img/object_images/shower_head01.jpg,img/object_images/gasoline_pump01.jpg,right
img/object_images/MetalWire01.jpg,img/object_images/tennis_balls04.jpg,right
img/object_images/bow_tie03.jpg,img/object_images/spatula01.jpg,right
img/object_images/ornament01.jpg,img/object_images/jewelry05.jpg,left
